COUNTYCD,County name
37,Florence
69,Lincoln
41,Forest
75,Marinette
67,Langlade
78,Menominee
3,Ashland
13,Burnett
5,Barron
31,Douglas
7,Bayfield
51,Iron
1,Adams
53,Jackson
17,Chippewa
57,Juneau
19,Clark
73,Marathon
35,Eau Claire
77,Marquette
11,Buffalo
49,Iowa
23,Crawford
63,La Crosse
33,Dunn
65,Lafayette
43,Grant
91,Peppin
9,Brown
39,Fond du Lac
15,Calumet
45,Green
21,Columbia
47,Green Lake
25,Dane
55,Jefferson
27,Dodge
59,Kenosha
29,Door
61,Kewaunee
83,Oconto
85,Oneida
115,Shawano
95,Polk
99,Price
107,Rusk
81,Monroe
97,Portage
135,Waupaca
137,Waushara
93,Pierce
103,Richard
109,St. Croix
111,Sauk
71,Manitowoc
79,Milwaukee
87,Outagamie
89,Ozaukee
101,Racine
105,Rock
125,Vilas
113,Sawyer
119,Taylor
129,Washburn
141,Wood
121,Trempealeau
123,Vernon
117,Sheboygan
127,Walworth
131,Washington
133,Waukesha
139,Winnebago
,
,
